ID,Name,Description (original),Fluff (draft),Effects (draft),Status
I056,Psychosis Poison,"An affected creature suffers [Potency] stacks of the following effect:
As long as you have any stacks of this, if you are hit by a damaging attack then you are Frightened of the attacker once.",An affected creature suffers [Potency] stacks of the following effect:,"As long as you have any stacks of this, if you are hit by a damaging attack then you are Frightened of the attacker once.",OK
I057,Cowl of Tranquility,"A loose hood stitched from prayer shawls and adorned with simple beads, when donned the wearer feels faint, insubstantial energy flowing through them, like a flowing river or a spring breeze.
This item starts each encounter with [Level] charges. When you would gain a stack of Taunted or Frightened, you may expend a charge from this and instead you don’t gain that stack.","A loose hood stitched from prayer shawls and adorned with simple beads, when donned the wearer feels faint, insubstantial energy flowing through them, like a flowing river or a spring breeze.","This item starts each encounter with [Level] charges. When you would gain a stack of Taunted or Frightened, you may expend a charge from this and instead you don’t gain that stack.",OK
I058,Mask of Night,"Anything from a hardened leather mask to a black hood attached to a bandana, the headpiece serves to grant improved vision at night as well as conceal the face; a likely consequence of its original development, as far as anyone can tell, among thieves and rogues.
When the mask is in place it grants its wearer perfect vision in darkness, negating any penalty to sight due to a lack of light. Smoke or anything else that physically obscures sight is not negated, however.","Anything from a hardened leather mask to a black hood attached to a bandana, the headpiece serves to grant improved vision at night as well as conceal the face; a likely consequence of its original development, as far as anyone can tell, among thieves and rogues.","When the mask is in place it grants its wearer perfect vision in darkness, negating any penalty to sight due to a lack of light. Smoke or anything else that physically obscures sight is not negated, however.",OK
I059,Lens of Daybreak,"Appearing either as a monocle, glasses, or any variety of single- or double-lensed accessories, these lenses have frames made from precious metals and usually have fine inscription work along them. These lenses help the wearer's eyes pierce fog, chase away darkness, dampen excessively-bright light, and so on, making it much easier to see through any difficult circumstances.
The wearer has Good Luck on Awareness flips that specifically involve sight.","Appearing either as a monocle, glasses, or any variety of single- or double-lensed accessories, these lenses have frames made from precious metals and usually have fine inscription work along them. These lenses help the wearer's eyes pierce fog, chase away darkness, dampen excessively-bright light, and so on, making it much easier to see through any difficult circumstances.",The wearer has Good Luck on Awareness flips that specifically involve sight.,OK
I060,Confident Cap,"These hats are simple but impressively crafted, designed in an understated fashion but woven with silver threading and other fine materials. The styling of the hats varies, and with that the effects seem to as well - some are styled in a stylish manner that gives the wearer a boost of smugness, and others with clashing, distracting motifs that help them regain their footing in a conversation. Regardless, every expert negotiator can be seen sporting such a hat.
This starts each encounter with 5 charges. Whenever you are in the front in a social contest and your party would gain a Concession, instead you may expend a charge and you don’t gain that Concession.","These hats are simple but impressively crafted, designed in an understated fashion but woven with silver threading and other fine materials. The styling of the hats varies, and with that the effects seem to as well - some are styled in a stylish manner that gives the wearer a boost of smugness, and others with clashing, distracting motifs that help them regain their footing in a conversation. Regardless, every expert negotiator can be seen sporting such a hat.","This starts each encounter with 5 charges. Whenever you are in the front in a social contest and your party would gain a Concession, instead you may expend a charge and you don’t gain that Concession.",OK
I061,Crown of Glory,"A glorious crown of precious metals, striking enough to inspire respect from anyone. Such impressive regalia naturally calms and inspires both the wearer and their allies, driving them forward to victory.
Once per day, for 0 AP, the wearer may have themselves and up to 4 allies who can see them each draw a card.","A glorious crown of precious metals, striking enough to inspire respect from anyone. Such impressive regalia naturally calms and inspires both the wearer and their allies, driving them forward to victory.","Once per day, for 0 AP, the wearer may have themselves and up to 4 allies who can see them each draw a card.",OK
I062,Choker of Silent Whispers,"A tight-fitting necklace, woven with fine silver chains and clear crystals typically used in divination magics. With concentration, it carries the wearer's whispers a great distance, to a specific someone.
The wearer can mutter inaudibly (nobody else can actually hear that you're talking) while focusing on a specific person within 10 meters, carrying a clear message only to that person. They hear the message as though the wearer were speaking clearly at a normal volume, in the wearer's voice, and will be able to tell that the wearer is sending the message if they see the wearer whispering.","A tight-fitting necklace, woven with fine silver chains and clear crystals typically used in divination magics. With concentration, it carries the wearer's whispers a great distance, to a specific someone.","The wearer can mutter inaudibly (nobody else can actually hear that you're talking) while focusing on a specific person within 10 meters, carrying a clear message only to that person. They hear the message as though the wearer were speaking clearly at a normal volume, in the wearer's voice, and will be able to tell that the wearer is sending the message if they see the wearer whispering.",OK
I063,Cloak of Caches,"A favorite of travelers, this large cloak is made from warm quilted fabric and furs, featuring a charming buckle of silver, gold, or similar metal. Inside the cloak are a set of large, useful pockets that seem to hold many useful trinkets.
As though using an easily-accessible location, the wearer may reach into the cloak and pull out any of the following:
a set of metal utensils
a metal bowl
a simple yet warm blanket
a small utility knife
a 20-meter coil of rope
a flint and steel set
a small glass jar
a spool of twine (roughly 10 meters' worth)
a wooden ""coin""
a pair of crude bone dice
Only one of each item can be produced at a time. At the end of the encounter, any produced items or their remains fade away as though someone set them down and forgot where they put them, unless you specifically wish otherwise for a given item.","A favorite of travelers, this large cloak is made from warm quilted fabric and furs, featuring a charming buckle of silver, gold, or similar metal. Inside the cloak are a set of large, useful pockets that seem to hold many useful trinkets.","As though using an easily-accessible location, the wearer may reach into the cloak and pull out any of the following:
a set of metal utensils
a metal bowl
a simple yet warm blanket
a small utility knife
a 20-meter coil of rope
a flint and steel set
a small glass jar
a spool of twine (roughly 10 meters' worth)
a wooden ""coin""
a pair of crude bone dice
Only one of each item can be produced at a time. At the end of the encounter, any produced items or their remains fade away as though someone set them down and forgot where they put them, unless you specifically wish otherwise for a given item.",OK
I064,Diver's Necklace,"Fashioned as a string of pearls, driftwood, and riverstones, these necklaces are not ostentatious but behind their plain appearance lies a useful enchantment. While fastened around their neck, the wearer finds that water passes into their lungs as easily as air, and benefits their body just the same.
The wearer can breathe in water perfectly as though it were air.","Fashioned as a string of pearls, driftwood, and riverstones, these necklaces are not ostentatious but behind their plain appearance lies a useful enchantment. While fastened around their neck, the wearer finds that water passes into their lungs as easily as air, and benefits their body just the same.",The wearer can breathe in water perfectly as though it were air.,OK
I065,Snowfall Drape,"A large, soft, warm cloak made to keep the wearer warm in the harshest of snowstorms. A mystical power of this cloak allows the wearer to leave a trail of thick, fluffy snow in their wake, leading some to believe it actually absorbs chill from around it, storing it for later use.
Once per encounter, when you move, you may ruffle the cloak and leave snow in the first 3 spaces you move from that action. Those spaces each gain [Level] degrees of Difficult Terrain that last for the encounter.","A large, soft, warm cloak made to keep the wearer warm in the harshest of snowstorms. A mystical power of this cloak allows the wearer to leave a trail of thick, fluffy snow in their wake, leading some to believe it actually absorbs chill from around it, storing it for later use.","Once per encounter, when you move, you may ruffle the cloak and leave snow in the first 3 spaces you move from that action. Those spaces each gain [Level] degrees of Difficult Terrain that last for the encounter.",OK
I066,Attuned Shroud,"Woven through with empowered threading, this lightweight shroud is aligned against a certain element. A soothing coolness, snug warmth, grounding stillness, or invigorating vitality washes over the wearer as the garment drapes around them.
The wearer gains a +2 bonus to Fire, Frost, Brilliant, or Shadow Resist, chosen when the item is created.","Woven through with empowered threading, this lightweight shroud is aligned against a certain element. A soothing coolness, snug warmth, grounding stillness, or invigorating vitality washes over the wearer as the garment drapes around them.","The wearer gains a +2 bonus to Fire, Frost, Brilliant, or Shadow Resist, chosen when the item is created.",OK
I067,Elemental-Resistant Armor,"A very broad category for a common enchantment (as common as magic items might be, anyway), armor can be enchanted to resist a variety of elemental types. Mundane armor provides only Physical Soak - no protection against Fire damage, for example - but armor might be enchanted to protect the wearer against Fire, Frost, Shadow, or (rarely) Brilliant damage.
The wearer gains a +1 bonus to Fire, Frost, Brilliant, or Shadow Resist, chosen when the item is created. If the enhancement is Level 2, it increases to a total of +2 Resist of the chosen type.","A very broad category for a common enchantment (as common as magic items might be, anyway), armor can be enchanted to resist a variety of elemental types. Mundane armor provides only Physical Soak - no protection against Fire damage, for example - but armor might be enchanted to protect the wearer against Fire, Frost, Shadow, or (rarely) Brilliant damage.","The wearer gains a +1 bonus to Fire, Frost, Brilliant, or Shadow Resist, chosen when the item is created. If the enhancement is Level 2, it increases to a total of +2 Resist of the chosen type.",OK
I068,Dauntless Wrap,"Clothing or armor created with thick threading, firm metal wire, and many other sturdy materials. While worn it imparts a sense of security and snugness, and is prized for its supernatural ability to keep someone in the fight even when their strength would otherwise fail.
The first time each day that losing Health would Down you, before you lose that Health you gain [three times the enhancement's Level] stacks of Protected.","Clothing or armor created with thick threading, firm metal wire, and many other sturdy materials. While worn it imparts a sense of security and snugness, and is prized for its supernatural ability to keep someone in the fight even when their strength would otherwise fail.","The first time each day that losing Health would Down you, before you lose that Health you gain [three times the enhancement's Level] stacks of Protected.",OK
I069,Armor of Constitutional Integrity,"Applicable to both armor as well as formal dress, garments with this enhancement stabilize the wearer’s vital energy as well as protecting it from all manner of toxin. They are worn frequently by a variety of people, from those who live a life of adventure to nobility who often fear for threats of assassination.
Any attack against the wearer by a Poison or similar effect has Bad Luck. The wearer also has Good Luck on Resilience flips.","Applicable to both armor as well as formal dress, garments with this enhancement stabilize the wearer’s vital energy as well as protecting it from all manner of toxin. They are worn frequently by a variety of people, from those who live a life of adventure to nobility who often fear for threats of assassination.",Any attack against the wearer by a Poison or similar effect has Bad Luck. The wearer also has Good Luck on Resilience flips.,OK
I070,Coat of Knit Flesh,"This suit of armor includes woven leathers, dyed deep reds and purples. While donned the wearer feels a sense of calm, relaxed energy and over time will rarely find themselves with minor scrapes and bruises, even after a deal of physical labor.
At the end of your turn, before any of your debuffs expire, remove 1 (if Level 2) or 2 (if Level 4) stacks of Bleeding from yourself.","This suit of armor includes woven leathers, dyed deep reds and purples. While donned the wearer feels a sense of calm, relaxed energy and over time will rarely find themselves with minor scrapes and bruises, even after a deal of physical labor.","At the end of your turn, before any of your debuffs expire, remove 1 (if Level 2) or 2 (if Level 4) stacks of Bleeding from yourself.",OK
I071,Fortified Armor,"Immaculately-crafted armor with an inlay of hardened beast scales, the enhancement placed on such a suit of armor further reinforces its defensive ability and narrowly deflects blows that would otherwise strike at vital points.
If the wearer is hit by an attack for which a red card was flipped, and this armor has a Resist against that type of damage, increase the Resist by 1 against that attack.","Immaculately-crafted armor with an inlay of hardened beast scales, the enhancement placed on such a suit of armor further reinforces its defensive ability and narrowly deflects blows that would otherwise strike at vital points.","If the wearer is hit by an attack for which a red card was flipped, and this armor has a Resist against that type of damage, increase the Resist by 1 against that attack.",OK
I072,Lifeforce Plate,"Regardless of construction, this garment is reinforced with plates and rods of polished bone, bolstering the vitality of the wearer and allowing them to shrug off minor injuries.
At the end of the wearer's turn, if the wearer has no stacks of Protected they gain 1 stack. Then, if the enhancement is Level 5, and the wearer has fewer than 2 stacks of Protected, they gain an additional stack.","Regardless of construction, this garment is reinforced with plates and rods of polished bone, bolstering the vitality of the wearer and allowing them to shrug off minor injuries.","At the end of the wearer's turn, if the wearer has no stacks of Protected they gain 1 stack. Then, if the enhancement is Level 5, and the wearer has fewer than 2 stacks of Protected, they gain an additional stack.",OK
I073,Robes of Resilience,"These robes are often stitched together from patches of various materials, however even under heavy use the robes remain intact and unworn. Rather than provide their own protection against attacks the enchantment on them fortifies the wearer's body to resist assault.
These robes grant a +1 bonus to Physical, Fire, Frost, Shadow, and Brilliant Soak.","These robes are often stitched together from patches of various materials, however even under heavy use the robes remain intact and unworn. Rather than provide their own protection against attacks the enchantment on them fortifies the wearer's body to resist assault.","These robes grant a +1 bonus to Physical, Fire, Frost, Shadow, and Brilliant Soak.",OK
I074,Robes of the Elemental Lord,"An immensely powerful enchantment, originally pioneered by an extraordinary warmage renowned for his elemental magics, these garments have only been replicated by the best enchanters available and at great cost. An unparalleled defense against other elementalists, these robes grant no protection against swords and arrows but insulate the wearer from blizzards and firestorms with ease.
These robes grant a +3 bonus to Fire, Frost, and Shadow Resists.","An immensely powerful enchantment, originally pioneered by an extraordinary warmage renowned for his elemental magics, these garments have only been replicated by the best enchanters available and at great cost. An unparalleled defense against other elementalists, these robes grant no protection against swords and arrows but insulate the wearer from blizzards and firestorms with ease.","These robes grant a +3 bonus to Fire, Frost, and Shadow Resists.",OK
I075,Armory Gauntlets,"Thick, unadorned iron gloves which are designed either for austerity or inconspicuousness depending on who is asked. Their simple appearance conceals a substantial utility, as the wearer of the Armory Gauntlets is never truly unarmed or defenseless.
For 0 AP the wielder can conjure a weapon made of shimmering force which appears in their hand. This can be any single weapon, including shields and the like. Only one weapon may be conjured at a time, although if the wielder has conjured a ranged weapon they may also conjure ammunition for it as part of an attack without counting against this limit. The wielder may dismiss any conjured weapon at any time.","Thick, unadorned iron gloves which are designed either for austerity or inconspicuousness depending on who is asked. Their simple appearance conceals a substantial utility, as the wearer of the Armory Gauntlets is never truly unarmed or defenseless.","For 0 AP the wielder can conjure a weapon made of shimmering force which appears in their hand. This can be any single weapon, including shields and the like. Only one weapon may be conjured at a time, although if the wielder has conjured a ranged weapon they may also conjure ammunition for it as part of an attack without counting against this limit. The wielder may dismiss any conjured weapon at any time.",OK
I076,Deft Gloves,"Fingerless gloves made out of a thin, black leather and secured with small buckles, these manage to support and steady the wearer's hands while their magic helps them move carefully and gracefully.
The wearer of these gloves has Good Luck on Craft flips for working with small devices, such as locks and other mechanisms. These gloves also count as though they were tinker's tools, and the wearer does not need any extra equipment to work with small devices without penalty.","Fingerless gloves made out of a thin, black leather and secured with small buckles, these manage to support and steady the wearer's hands while their magic helps them move carefully and gracefully.","The wearer of these gloves has Good Luck on Craft flips for working with small devices, such as locks and other mechanisms. These gloves also count as though they were tinker's tools, and the wearer does not need any extra equipment to work with small devices without penalty.",OK
I077,Mighty Mitts,"Your hands (the ones wearing these) are as effective at destroying things, causing you to ignore any penalties to Might flips to break things without having a proper tool for smashing, prying, and so on. You also have Good Luck on Might flips to move or destroy things.
Once per day, the mitts can grant you a burst of strength. This takes 4AP to use, and allows you to make flips to move or destroy something as though you had spent a minute doing so.","Your hands (the ones wearing these) are as effective at destroying things, causing you to ignore any penalties to Might flips to break things without having a proper tool for smashing, prying, and so on. You also have Good Luck on Might flips to move or destroy things.","Once per day, the mitts can grant you a burst of strength. This takes 4AP to use, and allows you to make flips to move or destroy something as though you had spent a minute doing so.",OK
I078,Flamebinder's Promise,"A ring of dull brass etched with black marks, embedded with burnt-colored jewels. These versatile and useful trinkets can only be created by a jeweler with a strong connection to the element of fire, and grant the wearer a measure of control over it.
Once per encounter, for 2 AP, the wearer may throw a ball of fire at a nearby creature. This is an Acrobatics attack against the Dodge Defense of a target within 5 meters, dealing 3 + [Mind] Fire damage.","A ring of dull brass etched with black marks, embedded with burnt-colored jewels. These versatile and useful trinkets can only be created by a jeweler with a strong connection to the element of fire, and grant the wearer a measure of control over it.","Once per encounter, for 2 AP, the wearer may throw a ball of fire at a nearby creature. This is an Acrobatics attack against the Dodge Defense of a target within 5 meters, dealing 3 + [Mind] Fire damage.",OK
I079,Focusing Band of [Technique],"Coveted for their usefulness and rarity, these rings hold the skill and knowledge of their crafter. Through careful meditation and focus, the jeweler binds their ability into a small token that can be tapped into when worn, allowing another person - who might be entirely unfamiliar with the art - to replicate it.
When this ring is created, the creator chooses a Technique they know, which must be the same Level as this ring.
The wearer may discard a card at any time in order to “learn” the chosen Technique until they get a full night’s rest or take the ring off. During this time they are treated as though they know the Technique, or an extra copy of it if it’s an Encounter or Duplicate Technique.","Coveted for their usefulness and rarity, these rings hold the skill and knowledge of their crafter. Through careful meditation and focus, the jeweler binds their ability into a small token that can be tapped into when worn, allowing another person - who might be entirely unfamiliar with the art - to replicate it.","When this ring is created, the creator chooses a Technique they know, which must be the same Level as this ring.
The wearer may discard a card at any time in order to “learn” the chosen Technique until they get a full night’s rest or take the ring off. During this time they are treated as though they know the Technique, or an extra copy of it if it’s an Encounter or Duplicate Technique.",OK
I080,Tactician's Band,"An austere, silver ring, etched with markings from battlemaps, warmage tomes, or other works that prominently feature tactical maneuvers and other strategies. The ring helps focus the wearer's thoughts, keeping their tactics one step ahead of any opponent.
This starts each day (after you get a full night’s rest) with [five times Level] charges. At any time, you may expend a charge, discard a card from your hand, and draw a card.","An austere, silver ring, etched with markings from battlemaps, warmage tomes, or other works that prominently feature tactical maneuvers and other strategies. The ring helps focus the wearer's thoughts, keeping their tactics one step ahead of any opponent.","This starts each day (after you get a full night’s rest) with [five times Level] charges. At any time, you may expend a charge, discard a card from your hand, and draw a card.",OK
I081,Bloodshard Ring,"A band made of twisted wire holding shards of bone and deep red gemstones. It is as favored by warmages and other arcanists who find themselves in combat situations as it is frowned upon by more academic, bookish sorts.
Before making a spell attack that deals damage, the wearer may spend X Health. If they do, the spell attack deals its damage as Fire, and deals an extra X damage. If the spell attack only has one target, then instead it deals an extra [twice X] damage.","A band made of twisted wire holding shards of bone and deep red gemstones. It is as favored by warmages and other arcanists who find themselves in combat situations as it is frowned upon by more academic, bookish sorts.","Before making a spell attack that deals damage, the wearer may spend X Health. If they do, the spell attack deals its damage as Fire, and deals an extra X damage. If the spell attack only has one target, then instead it deals an extra [twice X] damage.",OK
I082,Fate’s Grasp,"Whenever you discard or play cards from your hand, after that effect is resolved, you may Sift up to that many cards.",,"Whenever you discard or play cards from your hand, after that effect is resolved, you may Sift up to that many cards.","NEEDS REVIEW — only one paragraph, couldn't guess a fluff/effects split"
I083,Galeforce Loop,"A winding ring of finely-carved wood, seeming wrapping a dozen times around the wearer's finger. The wearer seems to feel the breeze more strongly on their hand, and can cause the wind to suddenly swell at their command.
Once per encounter, the wearer may cause a strong gust of wind around themself. This gust does not blow in any particular direction, but blows around the area strongly enough to snuff out torches, scatter paper, disperse clouds of smoke, and so on. Though the effect is dramatic, there is no indication that the wearer is responsible for the wind.","A winding ring of finely-carved wood, seeming wrapping a dozen times around the wearer's finger. The wearer seems to feel the breeze more strongly on their hand, and can cause the wind to suddenly swell at their command.","Once per encounter, the wearer may cause a strong gust of wind around themself. This gust does not blow in any particular direction, but blows around the area strongly enough to snuff out torches, scatter paper, disperse clouds of smoke, and so on. Though the effect is dramatic, there is no indication that the wearer is responsible for the wind.",OK
I084,Heartbinding Band,"A band of dull metal with soft, pink gemstones embedded in it which seem to pulse with a faint light.
The wearer may spend 1 AP, place their hand (the one with the ring) on an adjacent willing creature, and spend any amount of Health. That creature then heals that much Health.","A band of dull metal with soft, pink gemstones embedded in it which seem to pulse with a faint light.","The wearer may spend 1 AP, place their hand (the one with the ring) on an adjacent willing creature, and spend any amount of Health. That creature then heals that much Health.",OK
I085,Poison Needle,"A large ring of iron, covering an entire finger joint, and relatively unassuming at first glance. Hidden mechanisms allow the ring to store a dose of poison, which can be quickly applied to a weapon.
The wearer can spend a full minute to place a dose of poison inside the ring, where it can remain indefinitely. When the wearer declares an attack with a weapon, as an Interrupt for 0 AP they may apply the poison in the ring to that weapon.","A large ring of iron, covering an entire finger joint, and relatively unassuming at first glance. Hidden mechanisms allow the ring to store a dose of poison, which can be quickly applied to a weapon.","The wearer can spend a full minute to place a dose of poison inside the ring, where it can remain indefinitely. When the wearer declares an attack with a weapon, as an Interrupt for 0 AP they may apply the poison in the ring to that weapon.",OK
I086,Flamefist's Approach,"A deceptively simple ring that, upon further inspection, is finely-crafted gold and silver inlaid with rubies. The ring seems to attune the wearer's energies with ambient elemental energies, melding their martial arts and their war magics.
The ring has two powers:
If you hit a creature with a Brawl attack, you may cast a Sorcery Spell Technique as long as it targets at least one target of your Brawl attack and takes no more than 2 AP to use.
If you hit a creature with a Sorcery Spell attack and that creature is within [Meditation Skill Total] meters, you may Teleport into a space adjacent to the creature.
You may use each of these powers once per encounter. Additionally, you may discard a card to use either power regardless of the ring’s limit.","A deceptively simple ring that, upon further inspection, is finely-crafted gold and silver inlaid with rubies. The ring seems to attune the wearer's energies with ambient elemental energies, melding their martial arts and their war magics.","The ring has two powers:
If you hit a creature with a Brawl attack, you may cast a Sorcery Spell Technique as long as it targets at least one target of your Brawl attack and takes no more than 2 AP to use.
If you hit a creature with a Sorcery Spell attack and that creature is within [Meditation Skill Total] meters, you may Teleport into a space adjacent to the creature.
You may use each of these powers once per encounter. Additionally, you may discard a card to use either power regardless of the ring’s limit.",OK
I087,Luminous Signet,"A large golden ring, encrusted with jewels, fit for a leader, hero, or other inspiring figure.
Whenever you discard or play cards from your hand, all allies within 5 meters of you are each Hasted [cards discarded/played] times.","A large golden ring, encrusted with jewels, fit for a leader, hero, or other inspiring figure.","Whenever you discard or play cards from your hand, all allies within 5 meters of you are each Hasted [cards discarded/played] times.",OK
I088,Assassin's Undetectable Arms,"Tending towards the slender and unremarkable, these weapons have shadow worked into them and are crafted to avoid notice and search.
Regardless of its type or construction, some feature or enhancement of the weapon allows it to be concealed on your person. Furthermore, you have Good Luck on any flip to keep it hidden, and anyone attempting to search you for it or detect it has Bad Luck on the associated flip.","Tending towards the slender and unremarkable, these weapons have shadow worked into them and are crafted to avoid notice and search.","Regardless of its type or construction, some feature or enhancement of the weapon allows it to be concealed on your person. Furthermore, you have Good Luck on any flip to keep it hidden, and anyone attempting to search you for it or detect it has Bad Luck on the associated flip.",OK
I089,Bounty Hunter's Blade,"Traditionally crafted as blunt weapons, contrary to the name, these arms are designed to focus the force and energy of their blows across a wide area. As a result, they are largely unable to deal lethal blows to enemies, instead exhausting them and beating them into submission.
Non-lethal attacks with this don't have Bad Luck.","Traditionally crafted as blunt weapons, contrary to the name, these arms are designed to focus the force and energy of their blows across a wide area. As a result, they are largely unable to deal lethal blows to enemies, instead exhausting them and beating them into submission.",Non-lethal attacks with this don't have Bad Luck.,OK
I090,Battering Armament,"Thick and heavy, with ram motifs etched along many surfaces. Weapons crafted in this style are heavier than they appear - which is rather heavy - and difficult to block or knock aside.
When an attack with this weapon hits or is Parried, the target is Pushed 1 meter in a direction of your choice.","Thick and heavy, with ram motifs etched along many surfaces. Weapons crafted in this style are heavier than they appear - which is rather heavy - and difficult to block or knock aside.","When an attack with this weapon hits or is Parried, the target is Pushed 1 meter in a direction of your choice.",OK
I091,Eager Armament,"An uncommon style of weapon, although very favored by travelers and those who prefer to appear unarmed. Designed so that, no matter where one keeps it, the weapon is easy to grab.
Drawing the weapon from any location within reach only takes 0 AP.","An uncommon style of weapon, although very favored by travelers and those who prefer to appear unarmed. Designed so that, no matter where one keeps it, the weapon is easy to grab.",Drawing the weapon from any location within reach only takes 0 AP.,OK
I092,Fatestealer,"Grim motifs decorate this weapon that, through magic or craftsmanship, somehow guides its wielder to become more deft as the battle rages on. A series of runes run along the blade, head, or other prominent part of the weapon, glowing with increasing intensity the more the wielder battles.
When an attack with this weapon Downs a creature, that creature is instantly killed and the weapon gains up to [enhancement's Level] charges.
The weapon may not have more than 5 charges at any time, and when the wielder gets a full night’s rest all charges are lost.
At any time, the wielder may spend charges on the following:
For 1 charge, the wielder may Sift 2 cards
For 3 charges, the wielder may draw a card","Grim motifs decorate this weapon that, through magic or craftsmanship, somehow guides its wielder to become more deft as the battle rages on. A series of runes run along the blade, head, or other prominent part of the weapon, glowing with increasing intensity the more the wielder battles.","When an attack with this weapon Downs a creature, that creature is instantly killed and the weapon gains up to [enhancement's Level] charges.
The weapon may not have more than 5 charges at any time, and when the wielder gets a full night’s rest all charges are lost.
At any time, the wielder may spend charges on the following:
For 1 charge, the wielder may Sift 2 cards
For 3 charges, the wielder may draw a card",OK
I093,Reaching Weapon,"Master smiths can craft weapons that are reinforced or otherwise constructed to feature an unparalleled length without breaking or proving too unwieldy. Sometimes this is a matter of superior craftsmanship, sometimes it is due to specialized materials or imbuing the weapon with magic, but no matter the method the weapons defy normal conventions of combat to strike far beyond normal reach.
Attacks made with this weapon have their Range increased by [this power's Level], as do abilities used with it.
For abilities that are not ranged normally, the wielder may choose any point within [this power's Level] meters of themself to be their location for the purposes of determining the ability's targets or area of effect.","Master smiths can craft weapons that are reinforced or otherwise constructed to feature an unparalleled length without breaking or proving too unwieldy. Sometimes this is a matter of superior craftsmanship, sometimes it is due to specialized materials or imbuing the weapon with magic, but no matter the method the weapons defy normal conventions of combat to strike far beyond normal reach.","Attacks made with this weapon have their Range increased by [this power's Level], as do abilities used with it.
For abilities that are not ranged normally, the wielder may choose any point within [this power's Level] meters of themself to be their location for the purposes of determining the ability's targets or area of effect.",OK
I094,Venomous Weapon,"A favorite of assassins and cunning killers of all stripes, these weapons are as dangerous as they are prized. Crafted with grooves along the blade or other striking surface of the weapon to allow poison to quickly streak down the weapon, or onto ammunition if the weapon is a bow or similar armament.
When created, a Basic Poison is chosen, with a Concentration of +[3 + X] and a Potency of X, where X is the enhancement’s Level. The first time each encounter that a weapon attack or ability using this as an Implement causes a target to lose Health or gain stacks of Bleeding, they expose it to this poison.","A favorite of assassins and cunning killers of all stripes, these weapons are as dangerous as they are prized. Crafted with grooves along the blade or other striking surface of the weapon to allow poison to quickly streak down the weapon, or onto ammunition if the weapon is a bow or similar armament.","When created, a Basic Poison is chosen, with a Concentration of +[3 + X] and a Potency of X, where X is the enhancement’s Level. The first time each encounter that a weapon attack or ability using this as an Implement causes a target to lose Health or gain stacks of Bleeding, they expose it to this poison.",OK
I095,Grim Promise,"Adorned with bone and faint inscriptions, traditionally these weapons were carried by certain tribal warriors into battles they believed they would not survive. Why carry them, then? To make sure their enemies died first.
When attacking or parrying with this weapon, the wielder ignores any penalties from being Wounded or Crippled.","Adorned with bone and faint inscriptions, traditionally these weapons were carried by certain tribal warriors into battles they believed they would not survive. Why carry them, then? To make sure their enemies died first.","When attacking or parrying with this weapon, the wielder ignores any penalties from being Wounded or Crippled.",OK
I096,Sorcerer's Bow,"This bow is extremely durable despite seeming thin and fragile, with a strange construction that lacks any kind of bow string. When the wielder concentrates and channels magical energy, gemstones along the bow trace a glittering pattern as a string of pure light is created, allowing the wielder to shoot arrows of magical force from it.
This weapon uses Sorcery as its relevant Skill, deals damage based on the wielder’s Mind instead of Cunning, and has a Might Skill Total requirement of 3.","This bow is extremely durable despite seeming thin and fragile, with a strange construction that lacks any kind of bow string. When the wielder concentrates and channels magical energy, gemstones along the bow trace a glittering pattern as a string of pure light is created, allowing the wielder to shoot arrows of magical force from it.","This weapon uses Sorcery as its relevant Skill, deals damage based on the wielder’s Mind instead of Cunning, and has a Might Skill Total requirement of 3.",OK
I097,Weapon of Sending,"A bizarre enhancement in which a weapon is created in such a manner that it can be thrown with moderate accuracy, then returns to the wielder.
This weapon can be thrown as an Acrobatics attack, with Range 3 × [Body]. When the weapon is thrown as part of an attack, at the start of your next turn the weapon returns to your hand.","A bizarre enhancement in which a weapon is created in such a manner that it can be thrown with moderate accuracy, then returns to the wielder.","This weapon can be thrown as an Acrobatics attack, with Range 3 × [Body]. When the weapon is thrown as part of an attack, at the start of your next turn the weapon returns to your hand.",OK
I098,Claw of Mortality,"Usually crafted as daggers and ritual knives, or occasionally other edged weapons that employ black, glassy stone and similar natural materials. Creating an imbalance of spiritual energies, magic channeled through the claw tears away at the victim's life force.
When an attack with this weapon hits, before any damage or other effects are applied, the target gains 2 stacks of Necrotic. Non-weapon attacks made through this deal their damage as Shadow.","Usually crafted as daggers and ritual knives, or occasionally other edged weapons that employ black, glassy stone and similar natural materials. Creating an imbalance of spiritual energies, magic channeled through the claw tears away at the victim's life force.","When an attack with this weapon hits, before any damage or other effects are applied, the target gains 2 stacks of Necrotic. Non-weapon attacks made through this deal their damage as Shadow.",OK
I099,Claw of Rime,"When an attack with this weapon hits, before any damage or other effects are applied, the target is Slowed once. Non-weapon attacks made through this deal their damage as Frost.",,"When an attack with this weapon hits, before any damage or other effects are applied, the target is Slowed once. Non-weapon attacks made through this deal their damage as Frost.","NEEDS REVIEW — only one paragraph, couldn't guess a fluff/effects split"
